Species,Weight,Length1,Length2,Length3,Height,Width,Sex
Lahna,242,23.2,25.4,30,38.4,13.4,NA
Lahna,290,24,26.3,31.2,40,13.8,NA
Lahna,340,23.9,26.5,31.1,39.8,15.1,NA
Lahna,363,26.3,29,33.5,38,13.3,NA
Lahna,430,26.5,29,34,36.6,15.1,NA
Lahna,450,26.8,29.7,34.7,39.2,14.2,NA
Lahna,500,26.8,29.7,34.5,41.1,15.3,NA
Lahna,390,27.6,30,35,36.2,13.4,NA
Lahna,450,27.6,30,35.1,39.9,13.8,NA
Lahna,500,28.5,30.7,36.2,39.3,13.7,NA
Lahna,475,28.4,31,36.2,39.4,14.1,NA
Lahna,500,28.7,31,36.2,39.7,13.3,NA
Lahna,500,29.1,31.5,36.4,37.8,12,NA
Lahna,NA,29.5,32,37.3,37.3,13.6,1
Lahna,600,29.4,32,37.2,40.2,13.9,1
Lahna,600,29.4,32,37.2,41.5,15,NA
Lahna,700,30.4,33,38.3,38.8,13.8,1
Lahna,700,30.4,33,38.5,38.8,13.5,NA
Lahna,610,30.9,33.5,38.6,40.5,13.3,NA
Lahna,650,31,33.5,38.7,37.4,14.8,NA
Lahna,575,31.3,34,39.5,38.3,14.1,1
Lahna,685,31.4,34,39.2,40.8,13.7,NA
Lahna,620,31.5,34.5,39.7,39.1,13.3,NA
Lahna,680,31.8,35,40.6,38.1,15.1,NA
Lahna,700,31.9,35,40.5,40.1,13.8,NA
Lahna,725,31.8,35,40.9,40,14.8,1
Lahna,720,32,35,40.6,40.3,15,NA
Lahna,714,32.7,36,41.5,39.8,14.1,NA
Lahna,850,32.8,36,41.6,40.6,14.9,NA
Lahna,1000,33.5,37,42.6,44.5,15.5,0
Lahna,920,35,38.5,44.1,40.9,14.3,0
Lahna,955,35,38.5,44,41.1,14.3,NA
Lahna,925,36.2,39.5,45.3,41.4,14.9,1
Lahna,975,37.4,41,45.9,40.6,14.7,0
Lahna,950,38,41,46.5,37.9,13.7,NA
Siika,270,23.6,26,28.7,29.2,14.8,NA
Siika,270,24.1,26.5,29.3,27.8,14.5,NA
Siika,306,25.6,28,30.8,28.5,15.2,NA
Siika,540,28.5,31,34,31.6,19.3,NA
Siika,800,33.7,36.4,39.6,29.7,16.6,0
Siika,1000,37.3,40,43.5,28.4,15,NA
Saerki,40,12.9,14.1,16.2,25.6,14,NA
Saerki,69,16.5,18.2,20.3,26.1,13.9,NA
Saerki,78,17.5,18.8,21.2,26.3,13.7,NA
Saerki,87,18.2,19.8,22.2,25.3,14.3,NA
Saerki,120,18.6,20,22.2,28,16.1,NA
Saerki,0,19,20.5,22.8,28.4,14.7,NA
Saerki,110,19.1,20.8,23.1,26.7,14.7,0
Saerki,120,19.4,21,23.7,25.8,13.9,0
Saerki,150,20.4,22,24.7,23.5,15.2,0
Saerki,145,20.5,22,24.3,27.3,14.6,0
Saerki,160,20.5,22.5,25.3,27.8,15.1,0
Saerki,140,21,22.5,25,26.2,13.3,NA
Saerki,160,21.1,22.5,25,25.6,15.2,0
Saerki,169,22,24,27.2,27.7,14.1,NA
Saerki,161,22,23.4,26.7,25.9,13.6,NA
Saerki,200,22.1,23.5,26.8,27.6,15.4,0
Saerki,180,23.6,25.2,27.9,25.4,14,NA
Saerki,290,24,26,29.2,30.4,15.4,NA
Saerki,272,25,27,30.6,28,15.6,0
Saerki,390,29.5,31.7,35,27.1,15.3,NA
Parkki,55,13.5,14.7,16.5,41.5,14.1,NA
Parkki,60,14.3,15.5,17.4,37.8,13.3,1
Parkki,90,16.3,17.7,19.8,37.4,13.5,1
Parkki,120,17.5,19,21.3,39.4,13.7,1
Parkki,150,18.4,20,22.4,39.7,14.7,NA
Parkki,140,19,20.7,23.2,36.8,14.2,NA
Parkki,170,19,20.7,23.2,40.5,14.7,0
Parkki,145,19.8,21.5,24.1,40.4,13.1,0
Parkki,200,21.2,23,25.8,40.1,14.2,NA
Parkki,273,23,25,28,39.6,14.8,0
Parkki,300,24,26,29,39.2,14.6,0
Norssi,6.7,9.3,9.8,10.8,16.1,9.7,1
Norssi,7.5,10,10.5,11.6,17,10,0
Norssi,7,10.1,10.6,11.6,14.9,9.9,1
Norssi,9.7,10.4,11,12,18.3,11.5,0
Norssi,9.8,10.7,11.2,12.4,16.8,10.3,1
Norssi,8.7,10.8,11.3,12.6,15.7,10.2,1
Norssi,10,11.3,11.8,13.1,16.9,9.8,1
Norssi,9.9,11.3,11.8,13.1,16.9,8.9,0
Norssi,9.8,11.4,12,13.2,16.7,8.7,0
Norssi,12.2,11.5,12.2,13.4,15.6,10.4,0
Norssi,13.4,11.7,12.4,13.5,18,9.4,0
Norssi,12.2,12.1,13,13.8,16.5,9.1,0
Norssi,19.7,13.2,14.3,15.2,18.9,13.6,0
Norssi,19.9,13.8,15,16.2,18.1,11.6,0
Hauki,200,30,32.3,34.8,16,9.7,NA
